,
date edited,Changelog
,Edited Accessories for Tia (T) in Builds
,
2024-09-13 00:00:00,Correct the links in Table of Contents to the correct tabs
,
2024-09-10 00:00:00,Added the remaining heroes to receive their job change in Release Order
,"Added Ryan (T) to the following pages: Builds, Soul Imprint"
,Moved Deia from Crit to CDR for her PvP Set in Equipment
,Added a Meme Page to Reference Sheets ♥
,Icons were adjusted on Table of Contents
,Changed Mayden's Base SR Icon
,
2024-09-06 00:00:00,Updated Key for World Boss 2
,
2024-09-05 00:00:00,Added Deia & Tia (T) to the Soul Imprint Page
,
2024-09-04 00:00:00,"Updated keys for Deep Sea Mercuria [Balance], World Boss 2, & AoT. Added R15 keys"
,Removed World Boss' column from Content Keys [etc.] / Renamed it AoT | AH
,Changed the Niche's row to name what the character is Niche in for PvE Meta
,Replaced Deia's CS Icon to her correct LB for her skills in Builds [lol]
,Revised PvP Meta to reflect itself on Deia's release
,Added Tia's Icon to the Release Order Page
,Renamed After W16 to Newb Tips
,[I Need Arena Keys]
,
2024-08-31 00:00:00,"Made an ""After W16"" tab related to it, for extra information to push through Mid-Game"
,"Revised Beginner's Guide to be better streamlined. [Read tutorials, though.]"
,Updated Tier List to reflect the meta after Tia (T)'s release.
,
2024-08-27 00:00:00,Arme's (S) build complete; added her to Void & Berkas for Keys
,Edited the Jump Express List in for Deia's release
,
2024-08-20 00:00:00,Started editing the Beginner's Guide to be more informative for new players [WIP/Hidden]
,Edited the description for Equipment regarding assaults.
,Added Arme (S)'s build [No longer WIP]
,Added Airo's channel to references tab
,
2024-08-17 00:00:00,Moved the Glossary after the Beginner's Guide to encourage newbies to read it
,Edited the Tier List in PvE Meta to reflect the shifts since Deia's release
,Edited keys for WORLD BOSS & linked AIRO's videos to said keys.
,Edited the Job Express Priority List w/ Hwarin (T)'s addition.
,Slightly did grammar corrections to Beginner's Guide
,Added Deia's LB
,
2024-08-13 00:00:00,Sieghart has an actual given name. Changed his name to this newfound infor.
,Added Tia (T)'s attribute to Release Order
,Added Tia (T)'s (WIP) & Deia's builds
,
2024-08-05 00:00:00,Edited the keys for PvP Meta (Attack)
,
2024-08-02 00:00:00,Added Deia's Attribute to the Release Order
,
2024-07-30 00:00:00,Revised many keys for various content (too many to name)
,Added a note for Equipment building -DPS Aura !?-
,"Removed Changelog tab, merged with this one"
,Added a link to Div's Tracker in References tab
,Revised PvP Meta to accentuate Asin (T)
,
2024-07-28 00:00:00,Added a seperate tab dedicated to Equipment Presets
,Removed Equipment from the Builds tab
,Added Deia to the Release Order site
,Added Arme S to the PvE Meta tab
,
2024-07-19 00:00:00,Added Comparisons to some units in PvE Meta + Revised Tier List
,Deleted Mid-Game guide as a result of the above (merged them)
,Updated Keys to Mercuria [Retribution] & SHOT DOWN [Berkas]
,Added ARME (S) to Character Builds [WIP] & Soul Imprint Build
